ID,垀婓部劓ID,忐怹靡趼,忐怹ID,堤汜華萸,場宎源砃,掘蛁,,,,,
1,1,朸挕蔚濂,728,7090;-6829,75,,,,,,
2,1,朸挕蔚濂,728,5310;-6970,192,,,,,,
3,1,朸挕蔚濂,728,5130;-7529,65,,,,,,
4,1,朸挕蔚濂,728,5490;-7890,195,,,,,,
5,1,朸挕蔚濂,728,5151;-8269,64,,,,,,
6,1,朸挕蔚濂,728,5310;-8830,64,,,,,,
7,1,朸挕蔚濂,728,7110;-8929,64,,,,,,
8,1,朸挕蔚濂,728,6070;-7890,64,,,,,,
9,1,朸挕蔚濂,728,5829;-6689,0,,,,,,
10,1,朸挕蔚濂,728,6169;-7210,184,,,,,,
11,1,朸挕蔚濂,728,6530;-6670,192,,,,,,
12,1,朸挕蔚濂,728,6189;-8568,62,,,,,,
13,1,朸挕蔚濂,728,5787;-9070,128,,,,,,
14,1,朸挕蔚濂,728,6570;-9049,64,,,,,,
15,1,朸挕蔚濂,728,6710;-7869,64,,,,,,
16,1,滄る條,726,6689;-6669,56
17,1,滄る條,726,5649;-6688,61
18,1,滄る條,726,5530;-8050,254
19,1,滄る條,726,5530;-7749,120
20,1,滄る條,726,6129;-8170,191
21,1,滄る條,726,6130;-7589,127
22,1,滄る條,726,6690;-9111,255
23,1,滄る條,726,5669;-9110,190
24,1,滄る條,726,6509;-8050,172
25,1,滄る條,726,6390;-8050,254
26,1,滄る條,726,6509;-7748,56
27,1,滄る條,726,6390;-7749,120
28,1,滄る條,726,6509;-7569,0
29,1,滄る條,726,6509;-8230,128
30,1,朸挕蔚濂,728,6330;-7649,64
31,1,朸挕蔚濂,728,6330;-8150,192
32,1,滄る條,726,6289;-7350,172
33,1,滄る條,726,6289;-7409,52
34,1,滄る條,726,6169;-7350,191
35,1,滄る條,726,6030;-7350,255
36,1,滄る條,726,5870;-7350,254
37,1,滄る條,726,5710;-7350,254
38,1,滄る條,726,5529;-7350,255
39,1,滄る條,726,5350;-7350,220
40,1,滄る條,726,5350;-7409,92
41,1,滄る條,726,6809;-6890,160
42,1,滄る條,726,6809;-6949,34
43,1,滄る條,726,5350;-8390,236
44,1,滄る條,726,6289;-8390,163
45,1,滄る條,726,6809;-8909,44
46,1,滄る條,726,6689;-8909,63
47,1,滄る條,726,6570;-8909,126
48,1,滄る條,726,5550;-8909,96,,,,,,
49,1,滄る條,726,5550;-8850,220,,,,,,
50,1,滄る條,726,5689;-8889,62,,,,,,
51,1,滄る條,726,5810;-8909,127,,,,,,
52,1,滄る條,726,5089;-7750,179,,,,,,
53,1,滄る條,726,5089;-8049,57,,,,,,
54,1,滄る條,726,6289;-8449,39,,,,,,
55,1,滄る條,726,6149;-8447,63,,,,,,
56,1,滄る條,726,5990;-8448,127,,,,,,
57,1,滄る條,726,5809;-8449,126,,,,,,
58,1,滄る條,726,5669;-8447,62,,,,,,
59,1,滄る條,726,5510;-8449,127,,,,,,
60,1,滄る條,726,5350;-8449,108,,,,,,
61,1,郘輿濂,727,6150;-6390,190,,,,,,
62,1,滄る條,726,6180;-6390,254,,,,,,
63,1,郘輿濂,727,6210;-6390,254,,,,,,
64,1,郘輿濂,727,6150;-6430,190,,,,,,
65,1,滄る條,726,6180;-6430,254,,,,,,
66,1,郘輿濂,727,6210;-6430,254,,,,,,
67,1,郘輿濂,727,6150;-6470,190,,,,,,
68,1,滄る條,726,6180;-6470,254,,,,,,
69,1,郘輿濂,727,6210;-6470,254,,,,,,
70,1,郘輿濂,727,6150;-6510,190,,,,,,
71,1,滄る條,726,6180;-6510,254,,,,,,
72,1,郘輿濂,727,6210;-6510,254,,,,,,
73,1,滄る條,726,5930;-6850,235,,,,,,
74,1,滄る條,726,6069;-6989,44,,,,,,
75,1,滄る條,726,6029;-7049,43,,,,,,
76,1,滄る條,726,5970;-7049,108,,,,,,
77,1,滄る條,726,5930;-6989,107,,,,,,
78,1,滄る條,726,6290;-6989,108,,,,,,
79,1,滄る條,726,6429;-6850,177,,,,,,
80,1,滄る條,726,6429;-6989,39,,,,,,
81,1,滄る條,726,6389;-7049,42,,,,,,
82,1,滄る條,726,6330;-7049,108,,,,,,
83,1,滄る條,726,4789;-7749,62,,,,,,
84,1,滄る條,726,4760;-7749,62,,,,,,
85,1,滄る條,726,4730;-7749,62,,,,,,
86,1,滄る條,726,4690;-7749,62,,,,,,
87,1,滄る條,726,4650;-7749,127,,,,,,
88,1,滄る條,726,4789;-7689,0,,,,,,
89,1,滄る條,726,4789;-7649,134,,,,,,
90,1,滄る條,726,4788;-7609,0,,,,,,
91,1,朸挕蔚濂,728,6170;-6750,254,,,,,,
92,1,昹ゃ傑藷,733,6189;-6330,191,,,,,,
93,1,滄る條,726,6029;-6370,150,,,,,,
94,1,滄る條,726,6029;-6410,0,,,,,,
95,1,滄る條,726,6029;-6450,0,,,,,,
96,1,滄る條,726,6029;-6490,0
97,1,滄る條,726,6029;-6480,0
98,1,滄る條,726,6029;-6510,0
99,1,滄る條,726,5990;-6509,126
100,1,滄る條,726,5950;-6509,63
101,1,滄る條,726,5920;-6509,63
102,1,滄る條,726,5890;-6509,63
103,1,滄る條,726,6330;-6370,192
104,1,滄る條,726,6330;-6410,64
105,1,滄る條,726,6330;-6450,64
106,1,滄る條,726,6330;-6490,64
107,1,滄る條,726,6360;-6509,127
108,1,滄る條,726,6390;-6509,127
109,1,滄る條,726,6429;-6509,126
110,1,滄る條,726,6469;-6509,126
111,1,滄る條,726,6069;-6850,169
112,1,滄る條,726,6290;-6850,236
113,1,郘輿濂,727,4660;-7930,192
114,1,滄る條,726,4700;-7930,192
115,1,郘輿濂,727,4740;-7930,192
116,1,郘輿濂,727,4780;-7930,192
117,1,郘輿濂,727,4820;-7930,192
118,1,滄る條,726,4660;-7900,192
119,1,郘輿濂,727,4700;-7900,192
120,1,郘輿濂,727,4740;-7900,192
121,1,郘輿濂,727,4780;-7900,192
122,1,滄る條,726,4820;-7900,192
123,1,郘輿濂,727,4660;-7870,192
124,1,郘輿濂,727,4700;-7870,192
125,1,郘輿濂,727,4740;-7870,192
126,1,滄る條,726,4780;-7870,192
127,1,郘輿濂,727,4820;-7870,192
128,1,滄る條,726,4650;-8050,254
129,1,滄る條,726,4680;-8050,190
130,1,滄る條,726,4719;-8050,190
131,1,滄る條,726,4749;-8050,190
132,1,滄る條,726,4789;-8050,190
133,1,滄る條,726,4789;-8080,128
134,1,滄る條,726,4789;-8110,128
135,1,滄る條,726,4789;-8150,128
136,1,滄る條,726,4789;-8190,128
137,1,滄る條,726,5030;-8049,64
138,1,滄る條,726,5030;-7999,64
139,1,滄る條,726,5030;-7949,64
140,1,滄る條,726,5030;-7899,67
141,1,滄る條,726,5030;-7849,67
142,1,滄る條,726,5030;-7800,192
143,1,滄る條,726,5030;-7750,192
144,1,朸挕蔚濂,728,4911;-7890,192
145,1,昹ゃ傑藷,733,4630;-7909,64
146,1,郘輿濂,727,6209;-9259,62
147,1,滄る條,726,6209;-9299,62
148,1,郘輿濂,727,6209;-9339,62
149,1,郘輿濂,727,6209;-9379,62
150,1,郘輿濂,727,6209;-9419,62
151,1,滄る條,726,6180;-9259,62
152,1,郘輿濂,727,6180;-9299,126
153,1,郘輿濂,727,6180;-9339,126
154,1,郘輿濂,727,6180;-9379,126
155,1,滄る條,726,6180;-9419,126
156,1,郘輿濂,727,6150;-9259,127
157,1,郘輿濂,727,6150;-9299,127
158,1,郘輿濂,727,6150;-9339,127
159,1,滄る條,726,6150;-9379,127
160,1,郘輿濂,727,6150;-9419,127
161,1,滄る條,726,6330;-9429,88
162,1,滄る條,726,6330;-9389,192
163,1,滄る條,726,6330;-9349,192
164,1,滄る條,726,6330;-9290,192
165,1,滄る條,726,6379;-9290,190
166,1,滄る條,726,6409;-9290,190
167,1,滄る條,726,6439;-9290,191
168,1,滄る條,726,6469;-9290,191
169,1,滄る條,726,6029;-9429,128
170,1,滄る條,726,6028;-9392,128
171,1,滄る條,726,6029;-9356,6
172,1,滄る條,726,6029;-9325,6
173,1,滄る條,726,6029;-9289,6
174,1,滄る條,726,5980;-9290,190
175,1,滄る條,726,5950;-9290,190
176,1,滄る條,726,5920;-9290,190
177,1,滄る條,726,5890;-9290,236
178,1,滄る條,726,6069;-8949,44
179,1,滄る條,726,5930;-8949,108
180,1,滄る條,726,6029;-8750,184
181,1,滄る條,726,6069;-8810,178
182,1,滄る條,726,5970;-8750,236
183,1,滄る條,726,5930;-8810,229
184,1,滄る條,726,6290;-8949,109
185,1,滄る條,726,6429;-8949,44
186,1,滄る條,726,6290;-8810,236
187,1,滄る條,726,6389;-8750,169
188,1,滄る條,726,6330;-8750,242
189,1,滄る條,726,6429;-8810,172
190,1,朸挕蔚濂,728,6189;-9099,62
191,1,昹ゃ傑藷,733,6189;-9469,63
192,1,郘輿濂,727,6850;-7750,192
193,1,郘輿濂,727,6850;-7790,192
194,1,郘輿濂,727,6850;-7830,192
195,1,郘輿濂,727,6850;-7870,192
196,1,郘輿濂,727,6850;-7910,192
197,1,郘輿濂,727,6850;-7950,192
198,1,郘輿濂,727,6850;-7990,192
199,1,郘輿濂,727,6850;-8030,192
200,1,郘輿濂,727,6900;-7750,192
201,1,郘輿濂,727,6900;-7790,192
202,1,郘輿濂,727,6900;-7830,192
203,1,郘輿濂,727,6900;-7870,192
204,1,郘輿濂,727,6900;-7910,192
205,1,郘輿濂,727,6900;-7950,192
206,1,郘輿濂,727,6900;-7990,192
207,1,郘輿濂,727,6900;-8030,192
208,1,滄る條,726,6950;-7750,192
209,1,滄る條,726,6950;-7790,192
210,1,滄る條,726,6950;-7830,192
211,1,滄る條,726,6950;-7870,192
212,1,滄る條,726,6950;-7910,192
213,1,滄る條,726,6950;-7950,192
214,1,滄る條,726,6950;-7990,192
215,1,滄る條,726,6950;-8030,192
216,1,朸挕蔚濂,728,7000;-7770,192
217,1,朸挕蔚濂,728,7000;-7850,192
218,1,朸挕蔚濂,728,7000;-7920,192
219,1,朸挕蔚濂,728,7000;-8010,192
220,1,郘輿濂,727,7130;-7829,64
221,1,郘輿濂,727,7130;-7865,192
222,1,郘輿濂,727,7130;-7900,192
223,1,郘輿濂,727,7130;-7935,192
224,1,郘輿濂,727,7130;-7970,192
225,1,郘輿濂,727,7170;-7970,192
226,1,郘輿濂,727,7210;-7970,192
227,1,郘輿濂,727,7250;-7970,192
228,1,郘輿濂,727,7290;-7970,192
229,1,郘輿濂,727,7170;-7829,254
230,1,郘輿濂,727,7210;-7829,254
231,1,郘輿濂,727,7250;-7829,254
232,1,郘輿濂,727,7290;-7829,254
233,1,滄る條,726,7030;-7729,126
234,1,滄る條,726,7070;-7729,127
235,1,滄る條,726,7110;-7729,127
236,1,滄る條,726,7150;-7729,127
237,1,滄る條,726,7190;-7729,127
238,1,滄る條,726,7230;-7729,127
239,1,滄る條,726,7270;-7729,127
240,1,滄る條,726,7310;-7729,127
241,1,滄る條,726,7030;-8050,254
242,1,滄る條,726,7070;-8050,191
243,1,滄る條,726,7110;-8050,191
244,1,滄る條,726,7150;-8050,191
245,1,滄る條,726,7190;-8050,191
246,1,滄る條,726,7230;-8050,191
247,1,滄る條,726,7270;-8050,191
248,1,滄る條,726,7310;-8050,191
249,1,滄る條,726,7390;-7709,64
250,1,滄る條,726,7390;-7769,64
251,1,滄る條,726,7390;-7829,64
252,1,滄る條,726,7390;-7889,64
253,1,滄る條,726,7390;-7949,64
254,1,滄る條,726,7390;-8009,64
255,1,滄る條,726,7390;-8069,64
256,2,郘輿濂,730,54805;-8690,192
257,2,郘輿濂,730,54805;-8745,192
258,2,郘輿濂,730,54805;-8800,192
259,2,郘輿濂,730,54805;-8855,192
260,2,郘輿濂,730,54805;-8910,192
261,2,郘輿濂,730,54805;-8970,192
262,2,郘輿濂,730,54855;-8690,192
263,2,郘輿濂,730,54855;-8745,192
264,2,郘輿濂,730,54855;-8800,192
265,2,郘輿濂,730,54855;-8855,192
266,2,郘輿濂,730,54855;-8910,192
267,2,郘輿濂,730,54855;-8970,192
268,2,滄る條,729,54905;-8690,192
269,2,滄る條,729,54905;-8745,192
270,2,滄る條,729,54905;-8800,192
271,2,滄る條,729,54905;-8855,192
272,2,滄る條,729,54905;-8910,192
273,2,滄る條,729,54905;-8970,192
274,2,哏挕蔚濂,731,54955;-8690,192
275,2,哏挕蔚濂,731,54955;-8760,192
276,2,哏挕蔚濂,731,54955;-8830,192
277,2,哏挕蔚濂,731,54955;-8900,192
278,2,哏挕蔚濂,731,54955;-8970,192
279,2,滄る條,729,54290;-10230,192
280,2,滄る條,729,54290;-10265,192
281,2,滄る條,729,54290;-10300,192
282,2,滄る條,729,54290;-10335,192
283,2,滄る條,729,54290;-10369,64
284,2,滄る條,729,54330;-10230,254
285,2,滄る條,729,54380;-10230,254
286,2,滄る條,729,54429;-10230,190
287,2,滄る條,729,53989;-10230,128
288,2,滄る條,729,53989;-10265,128
289,2,滄る條,729,53989;-10300,128
290,2,滄る條,729,53989;-10335,128
291,2,滄る條,729,53989;-10370,0
292,2,滄る條,729,53950;-10230,254
293,2,滄る條,729,53900;-10230,254
294,2,滄る條,729,53850;-10230,254
295,2,滄る條,729,54029;-9889,44
296,2,滄る條,729,53890;-9889,114
297,2,滄る條,729,54029;-9750,162
298,2,滄る條,729,53930;-9690,244
299,2,滄る條,729,53890;-9750,236
300,2,滄る條,729,54029;-9750,162
301,2,滄る條,729,54250;-9889,109
302,2,滄る條,729,54389;-9889,43
303,2,滄る條,729,54250;-9750,225
304,2,滄る條,729,54290;-9690,236
305,2,滄る條,729,54349;-9690,172
306,2,滄る條,729,54389;-9750,172
307,2,郘輿濂,730,54169;-7310,190
308,2,滄る條,729,54169;-7355,190
309,2,郘輿濂,730,54169;-7400,190
310,2,郘輿濂,730,54169;-7445,190
311,2,郘輿濂,730,54169;-7490,190
312,2,滄る條,729,54140;-7310,254
313,2,郘輿濂,730,54140;-7355,254
314,2,郘輿濂,730,54140;-7400,254
315,2,郘輿濂,730,54140;-7445,254
316,2,滄る條,729,54140;-7490,254
317,2,郘輿濂,730,54110;-7310,254
318,2,郘輿濂,730,54110;-7355,254
319,2,郘輿濂,730,54110;-7400,254
320,2,滄る條,729,54110;-7445,254
321,2,郘輿濂,730,54110;-7490,254
322,2,哏挕蔚濂,731,54130;-7670,254
323,2,陳貉傑藷,732,52530;-8850,192
324,2,滄る條,729,52990;-8689,192
325,2,滄る條,729,52990;-8740,64
326,2,滄る條,729,52990;-8790,64
327,2,滄る條,729,52990;-8840,64
328,2,滄る條,729,52990;-8890,64
329,2,滄る條,729,52990;-8940,64
330,2,滄る條,729,52990;-8989,64
331,2,滄る條,729,52610;-8689,126
332,2,滄る條,729,52645;-8689,62
333,2,滄る條,729,52680;-8689,62
334,2,滄る條,729,52715;-8689,62
335,2,滄る條,729,52750;-8689,62
336,2,滄る條,729,52749;-8650,128
337,2,滄る條,729,52749;-8600,0
338,2,滄る條,729,52749;-8549,128
339,2,滄る條,729,52610;-8990,255
340,2,滄る條,729,52645;-8990,255
341,2,滄る條,729,52680;-8990,255
342,2,滄る條,729,52715;-8990,255
343,2,滄る條,729,52750;-8990,255
344,2,滄る條,729,52749;-9029,129
345,2,滄る條,729,52749;-9129,128
346,2,滄る條,729,52749;-9079,128
347,2,郘輿濂,730,52610;-8810,192
348,2,滄る條,729,52655;-8810,192
349,2,郘輿濂,730,52700;-8810,192
350,2,郘輿濂,730,52745;-8810,192
351,2,郘輿濂,730,52790;-8810,192
352,2,滄る條,729,52610;-8840,64
353,2,郘輿濂,730,52655;-8840,64
354,2,郘輿濂,730,52700;-8840,64
355,2,郘輿濂,730,52745;-8840,64
356,2,滄る條,729,52790;-8840,64
357,2,郘輿濂,730,52610;-8870,64
358,2,郘輿濂,730,52655;-8870,64
359,2,郘輿濂,730,52700;-8870,64
360,2,滄る條,729,52745;-8870,64
361,2,郘輿濂,730,52790;-8870,64
362,2,哏挕蔚濂,731,52870;-8830,192
363,2,陳貉傑藷,732,54149;-7230,190
364,2,滄る條,729,53989;-7989,44
365,2,滄る條,729,54029;-7929,44
366,2,滄る條,729,53930;-7989,118
367,2,滄る條,729,53890;-7929,108
368,2,滄る條,729,53890;-7790,241
369,2,滄る條,729,54029;-7790,172
370,2,滄る條,729,54250;-7790,236
371,2,滄る條,729,54250;-7929,108
372,2,滄る條,729,54389;-7790,172
373,2,滄る條,729,54290;-7989,108
374,2,滄る條,729,54349;-7989,44
375,2,滄る條,729,54389;-7929,44
376,2,滄る條,729,54290;-7310,192
377,2,滄る條,729,54290;-7345,64
378,2,滄る條,729,54290;-7380,64
379,2,滄る條,729,54290;-7415,64
380,2,滄る條,729,54290;-7450,64
381,2,滄る條,729,54329;-7449,62
382,2,滄る條,729,54379;-7449,62
383,2,滄る條,729,54429;-7449,62
384,2,滄る條,729,53989;-7310,128
385,2,滄る條,729,53989;-7345,0
386,2,滄る條,729,53989;-7380,3
387,2,滄る條,729,53989;-7415,3
388,2,滄る條,729,53989;-7449,0
389,2,滄る條,729,53949;-7449,62
390,2,滄る條,729,53899;-7449,126
391,2,滄る條,729,53850;-7449,126
392,2,郘輿濂,730,54110;-10179,126
393,2,滄る條,729,54110;-10224,126
394,2,郘輿濂,730,54110;-10269,126
395,2,郘輿濂,730,54110;-10314,126
396,2,郘輿濂,730,54110;-10359,126
397,2,滄る條,729,54140;-10179,126
398,2,郘輿濂,730,54140;-10224,126
399,2,郘輿濂,730,54140;-10269,126
400,2,郘輿濂,730,54140;-10314,126
401,2,滄る條,729,54140;-10359,126
402,2,郘輿濂,730,54170;-10179,126
403,2,郘輿濂,730,54170;-10224,126
404,2,郘輿濂,730,54170;-10269,126
405,2,滄る條,729,54170;-10314,126
406,2,郘輿濂,730,54170;-10359,126
407,2,哏挕蔚濂,731,54149;-10009,62
408,2,陳貉傑藷,732,54149;-10449,61
409,2,滄る條,729,53049;-8989,44
410,2,滄る條,729,53049;-8690,184
411,2,滄る條,729,53790;-7830,254
412,2,滄る條,729,53630;-7830,254
413,2,滄る條,729,53510;-7830,220
414,2,滄る條,729,53510;-7889,98
415,2,滄る條,729,54758;-7838,165
416,2,滄る條,729,54769;-7889,44
417,2,滄る條,729,54650;-7830,254
418,2,滄る條,729,54509;-7830,254
419,2,滄る條,729,54209;-8349,21
420,2,滄る條,729,54209;-8290,161
421,2,滄る條,729,54089;-8290,190
422,2,滄る條,729,53950;-8290,254
423,2,滄る條,729,53810;-8290,255
424,2,滄る條,729,53670;-8290,254
425,2,滄る條,729,53430;-8290,254
426,2,滄る條,729,53270;-8290,236
427,2,滄る條,729,53270;-8349,108
428,2,滄る條,729,54209;-9330,156
429,2,滄る條,729,54209;-9389,28
430,2,滄る條,729,54069;-9389,63
431,2,滄る條,729,53870;-9389,126
432,2,滄る條,729,53690;-9380,126
433,2,滄る條,729,53469;-9376,62
434,2,滄る條,729,53349;-9389,62
435,2,滄る條,729,53270;-9389,85
436,2,滄る條,729,53270;-9330,236
437,2,滄る條,729,54489;-9847,126
438,2,滄る條,729,54610;-9849,126
439,2,滄る條,729,54689;-9849,126
440,2,滄る條,729,54769;-9849,34
441,2,滄る條,729,54769;-9790,172
442,2,滄る條,729,53510;-9849,88
443,2,滄る條,729,53510;-9790,219
444,2,滄る條,729,53609;-9849,126
445,2,滄る條,729,53770;-9849,127
446,2,滄る條,729,55490;-8649,64
447,2,滄る條,729,55490;-8699,64
448,2,滄る條,729,55490;-8739,64
449,2,滄る條,729,55490;-8779,64
450,2,滄る條,729,55490;-8809,64
451,2,滄る條,729,55490;-8859,64
452,2,滄る條,729,55490;-8899,64
453,2,滄る條,729,55490;-8939,64
454,2,滄る條,729,55490;-8989,64
455,2,滄る條,729,54990;-8669,126
456,2,滄る條,729,55030;-8669,126
457,2,滄る條,729,55070;-8669,126
458,2,滄る條,729,55110;-8669,126
459,2,滄る條,729,55150;-8669,126
460,2,滄る條,729,55190;-8669,126
461,2,滄る條,729,55230;-8669,126
462,2,滄る條,729,55270;-8669,126
463,2,滄る條,729,55310;-8669,126
464,2,滄る條,729,55350;-8669,126
465,2,滄る條,729,55390;-8669,126
466,2,滄る條,729,55430;-8669,126
467,2,滄る條,729,54989;-8970,254
468,2,滄る條,729,55030;-8970,254
469,2,滄る條,729,55070;-8970,254
470,2,滄る條,729,55110;-8970,254
471,2,滄る條,729,55150;-8970,254
472,2,滄る條,729,55190;-8970,254
473,2,滄る條,729,55230;-8970,254
474,2,滄る條,729,55270;-8970,254
475,2,滄る條,729,55310;-8970,254
476,2,滄る條,729,55350;-8970,254
477,2,滄る條,729,55390;-8970,254
478,2,滄る條,729,55430;-8970,254
479,2,郘輿濂,730,55211;-8900,64
480,2,郘輿濂,730,55211;-8850,64
481,2,郘輿濂,730,55211;-8800,64
482,2,郘輿濂,730,55211;-8750,64
483,2,郘輿濂,730,55251;-8750,64
484,2,郘輿濂,730,55291;-8750,64
485,2,郘輿濂,730,55331;-8750,64
486,2,郘輿濂,730,55371;-8750,64
487,2,郘輿濂,730,55370;-8900,64
488,2,郘輿濂,730,55370;-8850,64
489,2,郘輿濂,730,55370;-8800,64
490,2,郘輿濂,730,55370;-8750,64
491,2,郘輿濂,730,55251;-8900,64
492,2,郘輿濂,730,55291;-8900,64
493,2,郘輿濂,730,55331;-8900,64
494,2,滄る條,729,54290;-7629,64
495,2,滄る條,729,54029;-7629,2
496,2,滄る條,729,54649;-7609,63
497,2,滄る條,729,53630;-7629,63
498,2,滄る條,729,53449;-7710,128
499,2,滄る條,729,52890;-8629,62
500,2,滄る條,729,52889;-9030,190
501,2,滄る條,729,54049;-10069,29
502,2,滄る條,729,54210;-10069,117
503,2,滄る條,729,54650;-10050,254
504,2,滄る條,729,53629;-10050,190
505,2,滄る條,729,54130;-9809,126
506,2,哏挕蔚濂,731,54390;-8370,254
507,2,哏挕蔚濂,731,54410;-9270,64
508,2,哏挕蔚濂,731,53229;-7989,0
509,2,哏挕蔚濂,731,53070;-8450,192
510,2,哏挕蔚濂,731,53430;-8969,64
511,2,哏挕蔚濂,731,53090;-9250,192
512,2,哏挕蔚濂,731,53230;-9750,138
513,2,哏挕蔚濂,731,54970;-9630,192
514,2,哏挕蔚濂,731,54910;-7949,71
515,1,朸挕湮蔚濂,734,7352;-7909,64
516,1,朸挕蔚濂,728,7351;-8050,192
517,1,朸挕蔚濂,728,7351;-7750,192
518,1,朸挕蔚濂,728,7351;-7950,192
519,1,朸挕蔚濂,728,7351;-7850,192
520,2,哏挕湮蔚濂,735,55430;-8810,192
521,2,哏挕蔚濂,731,55430;-8910,64
522,2,哏挕蔚濂,731,55430;-8760,64
523,2,哏挕蔚濂,731,55430;-8710,64
524,2,哏挕蔚濂,731,55430;-8860,64
525,1,滄る條,726,5551;-6890,220
526,1,滄る條,726,5550;-6949,107
527,1,滄る條,726,5709;-6891,190
528,1,滄る條,726,5709;-7108,62
529,1,滄る條,726,6650;-6890,254
530,1,滄る條,726,6570;-6890,254
