int,string,string,string
ID,一般喊话,求助喊话,结束喊话
320,我不是普通的兔子，我是兔子王，又肥又大的兔子王。;天啊，我这么可爱，怎么没有人来抱我。;我很白，很纯洁。,像我这样纯洁可爱的兔子，你也舍得打？;来捉我吧，捉我去陪嫦娥。;别打我，我是兔子王，又肥又大的兔子王。,一点怜爱之心都没，真是败给你了。;做兔子总是被人吃，来世我一定要做人吃兔子。
321,来人啊，帮本王修饰一下身上的蛛纹。;大家满山溜溜，多抓一些食物来。,本王的毒牙咬过你屁股，你死定了。;怎么还不趴下，本王的毒汁都快没了。;为了本王少喷口水，你快倒下吧。,你等着，本王的王妃们一定会用口水报复你的。;本王错了，本王不该咬肿你屁股的。
326,哪里有压迫，哪里就有反抗。;兄弟们打起精神，小心敌人袭营。;别人杀人叫义军，我们杀人叫暴民，什么世道。,与我作对，自寻死路。;我是老大，我怕谁。;见到我彪悍的胸肌，吓到了吧，哈哈！,没想到我大刀王五也有今天。;要是我手握屠龙刀，赢的一定是我。
327,小的们，千万别洗蒸汽浴啊，昨天本王就见到螃蟹兄躺在人家蒸锅上被蒸熟了。;不要这样看着你们的王，再看，再看本王的脸都红了。,喂，别看本王隐私，对付你还用不着暗放蛛丝呢。;真后悔，没有镶上两颗钢牙。;与本王为敌的人，最后都将成为干尸。,没有偷袭你真是失策。;死前请允许本王说一句，就这一句。
6001,左青龙，右白虎，老牛在腰间，人挡杀人，佛挡杀佛;此树是我栽，此路是我开，要想虫子过……忘词了。;做人难，做个好强盗真难。,哎哟喂，别打我脸。;为什么总要打我脸，为什么总要忌妒我的帅。;砍吧，尽情的砍吧，我的刀将饱饮你的鲜血。,"我没输，只是想躺着休息一下而已。;这局不算，等我复活再打。;现在才发现,强盗不是人人可以做的。"
6002,哼唧！哼唧！;仙侠世界就是好，连猪也可以说话，哼唧哼唧！;出来混，要跟个好主人，吃穿不愁啊。,打猪也要看主人，主人快来帮我。;想用我做猪排，做梦。;今天，我要将你变成猪食。,卑鄙的人，我的后人猪八戒会帮我报仇的。;我没有辱没猪的尊严。;惨，还是没有逃脱猪的命运。
6003,过路的老少爷们，这年头日子不好过，行行好，借点财来救急。;没有实力行走江湖真是麻烦，看来我得创一套弯刀刀法才行。;做人难，做个好流氓真难。,去死吧。;圆月刀法，看我一刀制敌。;下手这么狠，欺我头发少吗？,不应该输得这么惨啊，那可是圆月刀法。;解脱了，希望不会下地狱。;早知道练辟邪剑法了。
6004,小李子还是小梨子，你说我们打劫什么人好呢？;小李子，怎么没有人理我？;小李子，那句打劫的话怎么说来着？,小李子快上，咬他丫的。;等等，我裤子掉了，尽管我没有裤子。;可怜的人啊，你为什么不绕道走呢。,要不是我裤子掉了，你怎么会赢？;哎，饿的呀，早知道先吃了小李子。;原来出来混，迟早会还的。
358,兄弟们，随便杀，随便抢，朝庭那般废物不敢怎么样的。;看城门口那些饭桶，都吓得尿裤子了。,嘿嘿，既然被大爷逮到，不留点东西怎么行？;疼吗？早知今日，何必刚才呢。;去死吧。,人有失手，马有失蹄啊。;眼拙了，没看出你是个练家子。
347,我是一只邪恶的巨玄蜂，飞到西啊又飞到东，嗡嗡嗡……;整天飞东飞西真是无聊，能找到邪恶的事做就好了。;为了邪恶，我豪不犹豫地付出。,玄蜂采花不采人，快走开。;跟我斗，嗡嗡嗡地烦死你。;看招，玄蜂尾后针。,为了邪恶，死得其所。;天啊，我是蜂，不是蚊子，居然把我拍死，污辱啊。
348,人过必留尸，鸟过必无毛。;做贼也不容易啊，刀口舔血，当然要狠一些了。,弟兄们上，将他挫骨扬灰。;下手这么狠，欺我头发少吗？;哎哎，打我头，我要杀了你。,歧视我头发少，你会有报应的。;别得意，我头发少，但长得比你好。;十八年后，老子又是一条好汉。
349,子民们，敞开你们的怀抱，将更广阔的疆土纳入我们怀中吧。;美貌、名声、财富都不过是浮云而已，只有无上的权力才能给予真实的好处。,犯我权威者，死。;你将为你的所做所为而后悔。;跪下救饶，本宫免你一死。,现在才明白，只有死亡最真实。;无知的人啊，你将面对一国的追杀。
350,脑中总是传来另一个人的声音，这究竟是怎么回事……又来了，可恶。;最近北冥五妖的狼皇传来消息，叫我留意他家公子，我看还是算了，现在连自己都有问题。,敢于冒犯狼妖勇士，证明你已做好被撕碎的准备。;哈哈哈……好久没有尝过人肉的味道了。;你的鲜血燃烧起了我的战意。,不可能，我是狼妖勇士啊。;啊……有股邪恶力量正在倾占我的身体。
435,哈哈哈……，没想到这样就占据了一具身体，真是得来全不费功夫。;多少年了，终于重见天日，那些昔日仇敌若是知晓我的回归，一定吓得尿裤子吧，哈哈哈……,暗中下手吗，看来你打错了如意算盘。;有什么手段，尽管使出来。;束手就擒吧，面对我你只有绝望。,终究是未逃出轮回吗？;你杀了我的人，却灭不了我的心。
437,神使说我可以当皇帝，是真的吗，是真的吗，有谁可以回答我？;魔神在上，到底发生了什么，为什么我总是记不清最近做过什么？,放心，我会给你一个痛快的。;我的巨斧怎样，威猛吗，哈哈哈……可是为我什么要和你打架。;无知者们，我的巨斧将为你们劈开地狱的通道。,魔神在上，让我回归你的怀抱吧。;为什么，为什么我会死，发生了什么？
438,魔神的信徒们，将你们的一切奉献，你们将得魔神的拥抱。;飞龙寨的计划相当顺利，看来不久之后，教主一定会对我大加赏赐。,挡住我脚步的人，我一定将他刺倒在裙下，令他喷血而亡。;相貌不差，也许我该换换骷髅装饰了。;下如此狠手，难道你不懂得怜香惜玉吗？,好狠啊，难道我真的不漂亮吗？;功亏一篑，不甘心啊。
377,我自认为是山臊中最英武的存在，可恨那些人类见到我便晕倒，不吃了他们不足以泄愤。;风雪这么大，路经此地的人类越来越少了，真是令山臊困扰的鬼天气。,闭嘴，不许叫我大猩猩。;我要吃光你的血肉，拆光你的骨头。;攻击太无力了，在帮我挠痒痒吗？,我是山臊BOSS，不是大猩猩，给我记住了。;我诅咒，杀我的人从今以后吃嘛嘛不香！
378,上古妖兽真是一群蠢货，老老实实修炼几百年，哪有吞食人类来得快。;还是好好的躲着，我可不想被人发现做成狐皮。;凭着我狐妖的智慧，没有人可以轻易地找到我。,细皮嫩肉的人啊，乖乖从了我，让我炼化吧。;美味可口的血液啊，可别浪费了。;别做无畏的抵抗，交出你的灵魂。,真想再活五百……不，六百年。;聪明一世，糊涂一时，竟没看出你的能为。;警告你，千万别剥狐皮，我的皮有骚味。
379,最近呆得太久，头脑似乎变得迟钝了，看来得寻机出去活动活动。;炼魂那家伙又出去打草惊蛇，看来得与他商量，否则食物都逃光了。,不咬你一口，怎么对得起我的牙。;为了本狐的未来，依了我吧。;别做无畏的抵抗，交出你的灵魂。,真想再活五百……不，六百年。;聪明一世，糊涂一时，竟没看出你的能为。;千万别剥狐皮，我的皮……这，怎么犯了此地无银之错，该死。
392,虽然没有找到东西，但只要想法捉住齐漱溟夫妇，也不算白跑了一趟。;混元子那只公夜叉真是难缠，得想法除掉他。但使用什么方法呢，让我想想。;给我搜仔细点，不要错过任何地方。,臣服于我赤身吧，追寻魔族的正统之路……可恶，我说的是赤身教的赤，非是不着衣的赤，取笑者死。;真是不可思议，居然能接住我三招之多。;这是与我教作对必须付出的代价。,哈哈哈……，我的灵魂将前往魔界。;教主啊，属下尽力了。;原来这就是死亡的感觉。
407,希望不会有哪个无知者闯进我的地盘。;实在太过清冷了，待我成道之日，一定要多邀请一些同道来热闹一番。,听说过蹴鞠吗，你的头正合适做鞠。;长这么高做什么，害我咬你脖子还要跳起来。;伸手不打笑脸兽，你太不识趣了。,我微笑着来，我微笑着走。;我要向阎王伸冤，有人虐杀动物。
432,开花的季节到了，这次又要增添不少姐妹了吧。;那些药农真是该死，居然用肮脏的手采摘我等姐妹。;姐妹们留心点，一定要保护好未来的姐妹。,下如此狠手，难道你不懂得怜香惜玉吗？;我的剑法与蜀山相比如何？;修为不差嘛，看你还能坚持多久。,死的真是难堪。;死前真想再补一次妆。
433,天助我等在众修士之前抢得芝仙，今晚当好好庆贺一番。;按照我的吩咐，给我布好陷阱，等着收拾前来夺取芝仙的人。;都给我闭嘴，从现在起，谁也不准谈论芝仙一事。,本以为我的出场能将你吓倒，没想到最终还是要出手解决，真是麻烦。;不夹着尾巴逃走吗，难道在等我的旋空斩。;这一招下去，地上只怕会多几个肉饼。,与其死在无名小卒手上，不如自毁元神。;身为赤身弟子，只能如此报答教主之恩了。
434,给我烧，给我杀，直到有人说出芝仙在何处为止。;把那间屋子留下，收拾一下今晚我住。还有抓来的村民给我放几个，叫他们帮忙打探消息。;为了救人，那些所谓的正道人士应该会告诉我们芝仙在哪吧，哈哈……,不好意思，没有拿稳兵器砸到你了。;这是与我教作对必须付出的代价。;谁叫你长得比我好，不打你打谁。,居然踩到香蕉皮，真是一失足成生死恨啦。;教主啊，属下尽力了。
8001,昨天才吃过一条花蟒，不知道今天有什么食物送上门来。;那边的，别离洞口那么近，离外面太近不安全。;听说有些人的肉吃了可以生长不死，不知道是不是真的。,死吧，我一定给你埃及法老的待遇，用蛛丝将你裹成木乃伊。;我们商量一下吧，我供你吃供你住，把你养得白白胖胖，再吃掉你。虽然也是死，但好过被我杀吧，嘿嘿。;哎哟，你打疼我了。,累了，翻个身，睡个觉，想再打等我休息好了再说吧。;事实证明，地面很危险，地穴也不安全。
8002,什么东西让我如此留恋，舍不得离开这里。;直觉告诉我，我需要杀死其他的人来代替这个位置。,恶魔的梦魇将萦绕着你。;即将成为鬼魅的替身，你该感到荣幸。;火烧、噬魂、还是衰老，你喜欢哪一种死亡方式呢？嗯，不回答，那我替你选一种好了。,也许这才是我最好的归宿。;舍得，舍不得，到头来都是一场空。
8003,修行千年，就差一步了，只要过了最后一关，我便可以幻化人形了。可是我该变成什么样子呢，真是一个头痛的问题。;当年妲己先祖在人间呼风唤雨，颠倒乾坤，我想凭我智慧，将比先祖更胜一筹才是。,都说人心是红色的，你能把心交出来让我看看吗？;看着这里，对，就是这里，我美吗，为了我的美，你愿意付出一切吗？;面对强大的力量，还不懂得逃走，人类真是一种愚蠢的动物。;你想要我做你妻子或丈夫吗，任何一种我都满足你的。,千年修行，就差一步，天意啊。;或许我们相遇在百年后，会是另一种结局吧。
